Title,Fuel,Km,Price(L)
2002  Ford Ikon 1.6 ZXi,Petrol,50000,0.7
2002  Ford Zephyr Petrol,Petrol,78500,2.5
2002  Ford Zephyr Petrol,Petrol,78500,2.5
2002  Hindustan Motors Ambassador Classic 2000 DSZ,Diesel,83000,1.5
2002  Hindustan Motors Contessa 1.8 GL Classic,LPG,70000,4.1
2002  Honda Accord 1.8 MT,Petrol,1000,0.5
2002  Honda Accord 1.8 MT,Petrol,50000,0.5
2002  Honda Accord 2.3 VTi AT,Petrol,89000,1.65
2002  Mahindra Armada AC,Diesel,150,0.3
2002  Mahindra Jeep MM 540,Diesel,1509,5.25
2002  Mahindra Marshal DI DX,Diesel,240,8
2002  Maruti Suzuki 1000 AC,Petrol,1000,0.5
2002  Maruti Suzuki 1000 AC,Petrol,50000,2
2002  Maruti Suzuki 1000 AC,Petrol,7000,1
2002  Maruti Suzuki 1000 Std,Petrol,32000,0.3
2002  Maruti Suzuki 1000 Std,Petrol,60000,0.5
2002  Maruti Suzuki 800 AC BS-II,Petrol,65000,0.35
2002  Maruti Suzuki 800 AC BS-II,Petrol,70000,0.55
2002  Maruti Suzuki 800 AC BS-II,Petrol,100000,0.7
2002  Maruti Suzuki 800 AC BS-III,Petrol,100000,0.9
2002  Maruti Suzuki 800 AC BS-III,Petrol,1000,1
2002  Maruti Suzuki 800 AC BS-III,Petrol,94880,1.5
2002  Maruti Suzuki 800 EX 5-Speed,Petrol,200000,2.5
2002  Maruti Suzuki 800 EX BS-II,Petrol,80000,0.65
2002  Maruti Suzuki 800 Std BS-II,Petrol,160000,0.75
2002  Maruti Suzuki 800 Std BS-II,Petrol,40000,1
2002  Maruti Suzuki 800 Std BS-II,Petrol,29000,0.84
2002  Maruti Suzuki 800 Std BS-II,Petrol,67590,1.25
2002  Maruti Suzuki 800 Std BS-II,Petrol,99900,0.4
2002  Maruti Suzuki 800 Std BS-II,Petrol,70000,0.5
2002  Maruti Suzuki 800 Std BS-III,Petrol,49000,0.99
2002  Maruti Suzuki 800 Std BS-III,Petrol,74490,0.6
2002  Maruti Suzuki 800 Std MPFi,Petrol,41792,0.75
2002  Maruti Suzuki 800 Std MPFi,Petrol,64000,0.48
2002  Maruti Suzuki Baleno LXi,Petrol,180,2.5
2002  Maruti Suzuki Baleno VXI,Petrol,800000,0.8
2002  Maruti Suzuki Esteem AX BS-II,Petrol,12500,1.5
2002  Maruti Suzuki Esteem Di,Diesel,10000,3
2002  Maruti Suzuki Esteem VX,Petrol,9999,1.5
2002  Maruti Suzuki Esteem VXi,Petrol,111100,1
2002  Maruti Suzuki Zen LX,Petrol,70000,0.98
2002  Maruti Suzuki Zen LXi,Petrol,59425,0.75
2002  Maruti Suzuki Zen LXi,Petrol,26352,0.76
2002  Maruti Suzuki Zen LXi,Petrol,70000,0.35
2002  Maruti Suzuki Zen LXi,Petrol,176000,0.8
2002  Maruti Suzuki Zen LXi,Petrol,190000,0.42
2002  Maruti Suzuki Zen LXi,Petrol,75845,1
2002  Maruti Suzuki Zen LXi,Petrol,112000,0.75
2002  Maruti Suzuki Zen LXi,Petrol,120000,0.45
2002  Maruti Suzuki Zen LXi,Petrol,88000,1.1
2002  Maruti Suzuki Zen LXi,Petrol,160000,0.8
2002  Maruti Suzuki Zen LXi,Petrol,230000,1.27
2002  Maruti Suzuki Zen LXi,Petrol,100900,0.5
2002  Maruti Suzuki Zen LXi,Petrol,65000,0.4
2002  Maruti Suzuki Zen LXi,Petrol,120000,1.15
2002  Maruti Suzuki Zen LXi,Petrol,176000,0.5
2002  Maruti Suzuki Zen LXi,Petrol,70000,0.45
2002  Maruti Suzuki Zen VXi,Petrol,130000,0.7
2002  Mitsubishi Lancer GLi 1.5,Petrol,109150,1
2002  Mitsubishi Lancer GLXd 2.0,Diesel,100000,1.6
2002  Opel Corsa 1.6 GLS,Petrol,96000,0.75
2002  Toyota Camry V6 AT,Petrol,37449,12.5
2002  Toyota Cynos 1.5 Coupe,Petrol,10000,20
2002  Toyota Cynos 1.5 Coupe,Petrol,725958,0.5
2002  Toyota Cynos 1.5 Coupe,Petrol,10000,20
2002  Toyota Cynos 1.5 Coupe,Petrol,725958,0.5
2002  Toyota Qualis FS B3,Diesel,150000,2.5
2002  Toyota Qualis FS B4,Diesel,270000,1.75
2002  Toyota Qualis FS B4,Diesel,41077,1.5
2002  Toyota Qualis GS G4,Diesel,137809,3
2002  Toyota Qualis GS G4,Diesel,89000,1.8
2002  Toyota Qualis GS G4,Diesel,333142,1.2
2002  Toyota Qualis GS G9,Diesel,70000,2.2
2002  Toyota Sera Coupe,Petrol,140,3
2002  Toyota Sera Coupe,Petrol,140,3
2002  Toyota Sera Coupe,Petrol,140,3
2003  Chevrolet Optra LT 1.8,Petrol,108000,2.1
2003  Chevrolet Optra LT 1.8,Petrol,108000,2.1
2003  Chevrolet Optra LT 1.8,Petrol,108000,2.1
2003  Chevrolet Optra LT 1.8,Petrol,108000,2.1
2003  Chevrolet Optra LT 1.8,Petrol,108000,2.1
2003  Chevrolet Optra LT 1.8,Petrol,108000,2.1
2003  Fiat Palio 1.2 EL PS,Petrol,86000,0.8
2003  Fiat Palio Adventure 1.6,Petrol,110008,0.6
2003  Ford Ikon 1.3 CLXi,Petrol,118000,1.05
2003  Ford Ikon 1.3 CLXi NXt Finesse,Petrol,70000,0.9
2003  Ford Ikon 1.3 Flair,Petrol,64248,0.68
2003  Ford Ikon 1.3 Flair,Petrol,38000,2
2003  Honda Accord 1.8 MT,Petrol,125000,0.8
2003  Honda Accord 2.4 VTi-L MT,Petrol,60000,3
2003  Honda Accord 2.4 VTi-L MT,Petrol,162000,3
2003  Honda Accord 2.4 VTi-L MT,Petrol,60000,3
2003  Honda Accord 2.4 VTi-L MT,Petrol,162000,3
2003  Hyundai Accent GLE 1,Petrol,30000,1.4
2003  Hyundai Sonata GOLD,Petrol,115000,2
2003  Hyundai Sonata GOLD,Petrol,60000,3.22
2003  Hyundai Sonata GOLD,Petrol,115000,2
2003  Hyundai Sonata GOLD,Petrol,60000,3.22
2003  Hyundai Sonata GOLD,Petrol,115000,2
2003  Hyundai Sonata GOLD,Petrol,60000,3.22
2003  Mahindra Armada AC,Diesel,123000,5
2003  Mahindra Marshal DI,Diesel,150000,4.5
2003  Mahindra Marshal DI DX,Diesel,50000,1
2003  Mahindra Marshal DI DX,Diesel,50000,3
2003  Maruti Suzuki 1000 AC,Petrol,120000,0.55
2003  Maruti Suzuki 1000 AC,Petrol,22222,4
2003  Maruti Suzuki 1000 AC,Petrol,200,5
2003  Maruti Suzuki 1000 AC,Petrol,9999,0.5
2003  Maruti Suzuki 1000 AC,Petrol,250,1
2003  Maruti Suzuki 1000 AC,Petrol,10000,5
2003  Maruti Suzuki 1000 AC,Petrol,100,0.5
2003  Maruti Suzuki 800 AC BS-II,Petrol,35000,0.55
2003  Maruti Suzuki 800 AC BS-II,Petrol,9000,1
2003  Maruti Suzuki 800 AC BS-II,Petrol,48700,1
2003  Maruti Suzuki 800 AC BS-II,Petrol,55000,0.5
2003  Maruti Suzuki 800 AC BS-II,Petrol,130000,0.5
2003  Maruti Suzuki 800 AC BS-III,Petrol,12590,0.85
