year,company,model,fuel,km,price(L)
2002,Honda,Accord,Petrol,1000,0.5
2002,Honda,Accord,Petrol,50000,0.5
2002,Honda,Accord,Petrol,89000,1.65
2002,Mahindra,Armada,Diesel,150,0.3
2002,Mahindra,Jeep,Diesel,1509,5.25
2002,Mahindra,Marshal,Diesel,240,8
2002,Maruti Suzuki,1000,Petrol,1000,0.5
2002,Maruti Suzuki,1000,Petrol,50000,2
2002,Maruti Suzuki,1000,Petrol,7000,1
2002,Maruti Suzuki,1000,Petrol,32000,0.3
2002,Maruti Suzuki,1000,Petrol,60000,0.5
2002,Maruti Suzuki,800,Petrol,65000,0.35
2002,Maruti Suzuki,800,Petrol,70000,0.55
2002,Maruti Suzuki,800,Petrol,100000,0.7
2002,Maruti Suzuki,800,Petrol,100000,0.9
2002,Maruti Suzuki,800,Petrol,1000,1
2002,Maruti Suzuki,800,Petrol,94880,1.5
2002,Maruti Suzuki,800,Petrol,200000,2.5
2002,Maruti Suzuki,800,Petrol,80000,0.65
2002,Maruti Suzuki,800,Petrol,160000,0.75
2002,Maruti Suzuki,800,Petrol,40000,1
2002,Maruti Suzuki,800,Petrol,29000,0.84
2002,Maruti Suzuki,800,Petrol,67590,1.25
2002,Maruti Suzuki,800,Petrol,99900,0.4
2002,Maruti Suzuki,800,Petrol,70000,0.5
2002,Maruti Suzuki,800,Petrol,49000,0.99
2002,Maruti Suzuki,800,Petrol,74490,0.6
2002,Maruti Suzuki,800,Petrol,41792,0.75
2002,Maruti Suzuki,800,Petrol,64000,0.48
2002,Maruti Suzuki,Baleno,Petrol,180,2.5
2002,Maruti Suzuki,Baleno,Petrol,800000,0.8
2002,Maruti Suzuki,Esteem,Petrol,12500,1.5
2002,Maruti Suzuki,Esteem,Diesel,10000,3
2002,Maruti Suzuki,Esteem,Petrol,9999,1.5
2002,Maruti Suzuki,Esteem,Petrol,111100,1
2002,Maruti Suzuki,Zen,Petrol,70000,0.98
2002,Maruti Suzuki,Zen,Petrol,59425,0.75
2002,Maruti Suzuki,Zen,Petrol,26352,0.76
2002,Maruti Suzuki,Zen,Petrol,70000,0.35
2002,Maruti Suzuki,Zen,Petrol,176000,0.8
2002,Maruti Suzuki,Zen,Petrol,190000,0.42
2002,Maruti Suzuki,Zen,Petrol,75845,1
2002,Maruti Suzuki,Zen,Petrol,112000,0.75
2002,Maruti Suzuki,Zen,Petrol,120000,0.45
2002,Maruti Suzuki,Zen,Petrol,88000,1.1
2002,Maruti Suzuki,Zen,Petrol,160000,0.8
2002,Maruti Suzuki,Zen,Petrol,230000,1.27
2002,Maruti Suzuki,Zen,Petrol,100900,0.5
2002,Maruti Suzuki,Zen,Petrol,65000,0.4
